T	M
16.000000	0.138889
16.050000	0.083333
16.100000	0.055556
16.150000	0.055556
16.200000	0.027778
16.250000	0.013889
16.300000	-0.027778
16.350000	-0.013889
16.400000	0.000000
16.450000	-0.097222
16.500000	0.041667
16.550000	0.111111
16.600000	0.138889
16.650000	0.097222
16.700000	0.097222
16.750000	0.111111
16.800000	0.027778
16.850000	-0.138889
16.900000	-0.222222
16.950000	-0.166667
17.000000	-0.069444
17.050000	0.041667
17.100000	0.013889
17.150000	0.027778
17.200000	-0.041667
17.250000	0.111111
17.300000	0.111111
17.350000	0.055556
17.400000	0.208333
17.450000	0.138889
17.500000	0.305556
17.550000	0.250000
17.600000	0.305556
17.650000	0.347222
17.700000	0.250000
17.750000	0.277778
17.800000	0.222222
17.850000	0.111111
17.900000	0.125000
17.950000	0.097222
18.000000	0.069444
18.050000	0.055556
18.100000	0.013889
18.150000	0.055556
18.200000	0.069444
18.250000	0.027778
18.300000	0.111111
18.350000	0.041667
18.400000	0.013889
18.450000	0.111111
18.500000	0.263889
18.550000	0.236111
18.600000	0.194444
18.650000	0.111111
18.700000	0.097222
18.750000	0.152778
18.800000	0.138889
18.850000	0.069444
18.900000	0.013889
18.950000	0.000000
19.000000	0.000000
19.050000	0.180556
19.100000	0.125000
19.150000	0.055556
19.200000	0.152778
19.250000	0.041667
19.300000	-0.083333
19.350000	-0.027778
19.400000	0.069444
19.450000	0.166667
19.500000	0.083333
19.550000	0.125000
19.600000	0.111111
19.650000	0.152778
19.700000	0.250000
19.750000	0.166667
19.800000	0.250000
19.850000	0.000000
19.900000	0.125000
19.950000	0.138889
20.000000	0.097222
20.050000	0.125000
20.100000	-0.013889
20.150000	-0.236111
20.200000	-0.083333
20.250000	-0.125000
20.300000	-0.013889
20.350000	-0.013889
20.400000	-0.041667
20.450000	-0.291667
20.500000	-0.166667
20.550000	0.000000
20.600000	0.166667
20.650000	0.041667
20.700000	0.000000
20.750000	0.083333
20.800000	0.013889
20.850000	0.069444
20.900000	0.222222
20.950000	0.208333
21.000000	0.166667
21.050000	0.194444
21.100000	0.291667
21.150000	0.222222
21.200000	0.152778
21.250000	0.180556
21.300000	0.097222
21.350000	0.055556
21.400000	0.000000
21.450000	-0.069444
21.500000	0.013889
21.550000	0.055556
21.600000	0.125000
21.650000	0.111111
21.700000	0.083333
21.750000	0.083333
21.800000	0.069444
21.850000	0.138889
21.900000	0.027778
21.950000	0.125000
22.000000	0.083333
22.050000	0.027778
22.100000	0.125000
22.150000	0.041667
22.200000	0.069444
22.250000	0.125000
22.300000	0.125000
22.350000	0.013889
22.400000	-0.097222
22.450000	-0.138889
22.500000	-0.041667
22.550000	-0.055556
22.600000	0.125000
22.650000	0.041667
22.700000	0.111111
22.750000	0.097222
22.800000	0.027778
22.850000	0.027778
22.900000	0.027778
22.950000	-0.027778
23.000000	-0.055556
23.050000	0.000000
23.100000	0.000000
23.150000	0.069444
23.200000	0.250000
23.250000	0.125000
23.300000	0.055556
23.350000	0.069444
23.400000	0.069444
23.450000	0.125000
23.500000	0.055556
23.550000	0.097222
